AAL	ɐ ɐ l
CANIVETINHO	k ɐ n i v e t i ɲ u
CANIÇAL	k ɐ n i s ɐ l
CANONICAL	k ɐ n o n i k ɐ l
CANONICIDADE	k ɐ n o n i s i d ɐ d i
CANSADINHA	k ɐ̃ s ɐ d i ɲ ɐ
CANSADINHO	k ɐ̃ s ɐ d i ɲ u
CANSATIVA	k ɐ̃ s ɐ t i v ɐ
CANSATIVAS	k ɐ̃ s ɐ t i v ɐ ʃ
CANSATIVO	k ɐ̃ s ɐ t i v u
CANSATIVOS	k ɐ̃ s ɐ t i v u ʃ
CANSÁVEL	k ɐ̃ s ɐ v ɛ l
CANTAL	k ɐ̃ t ɐ l
CANTANHEDE	k ɐ̃ t ɐ ɲ ɛ d i
CANTANTE	k ɐ̃ t ɐ̃ t i
CANTANTES	k ɐ̃ t ɐ̃ t i ʃ
CANTAROLANTE	k ɐ̃ t ɐ ɾ o l ɐ̃ t i
CANTE	k ɐ̃ t i
CANTIGA	k ɐ̃ t i ɡ ɐ
CANTIGAS	k ɐ̃ t i ɡ ɐ ʃ
CANTIL	k ɐ̃ t i l
CANTILENA	k ɐ̃ t i l e n ɐ
CANTILENAS	k ɐ̃ t i l e n ɐ ʃ
CANTINA	k ɐ̃ t i n ɐ
CANTINAS	k ɐ̃ t i n ɐ ʃ
CANTINHO	k ɐ̃ t i ɲ u
CANTINHOS	k ɐ̃ t i ɲ u ʃ
CANTIS	k ɐ̃ t i ʃ
CANTÁVEL	k ɐ̃ t ɐ v ɛ l
CANTÍDIO	k ɐ̃ t i d i u
CANUDINHO	k ɐ n u d i ɲ u
CANUDINHOS	k ɐ n u d i ɲ u ʃ
CANUTILHO	k ɐ n u t i ʎ u
CANUTILHOS	k ɐ n u t i ʎ u ʃ
CANÍDEO	k ɐ n i d j u
CAPACETE	k ɐ p ɐ s ɛ t i
CAPACETES	k ɐ p ɐ s ɛ t i ʃ
CAPACIDADE	k ɐ p ɐ s i d ɐ d i
CAPACIDADES	k ɐ p ɐ s i d ɐ d i ʃ
CAPACITE	k ɐ p ɐ s i t i
CAPACITIVO	k ɐ p ɐ s i t i v u
CAPELETE	k ɐ p e l ɛ t i
CAPETE	k ɐ p ɛ t i
CAPETINGA	k ɐ p e t ĩ ɡ ɐ
CAPETINHA	k ɐ p e t i ɲ ɐ
CAPILARIDADE	k ɐ p i l ɐ ɾ i d ɐ d i
CAPINAL	k ɐ p i n ɐ l
CAPINZAL	k ɐ p ĩ z ɐ l
CAPITAL	k ɐ p i t ɐ l
CAPITALIZÁVEL	k ɐ p i t ɐ l i z ɐ v ɛ l
CAPITEL	k ɐ p i t ɛ l
CAPITINGA	k ɐ p i t ĩ ɡ ɐ
CAPORAL	k ɐ p o ɾ ɐ l
CAPOTE	k ɐ p ɔ t i
CAPOTES	k ɐ p ɔ t i ʃ
CAPPUCCINO	k ɐ p u k i s i n u
CAPRICHOSAMENTE	k ɐ p ɾ i ʃ ɔ z ɐ m ẽ t i
CAPSULITE	k ɐ p i s u l i t i
CAPSÍDEO	k ɐ p i s i d j u
CAPTE	k ɐ p i t i
CAPTOPRIL	k ɐ p i t o p ɾ i l
CAPTÁVEL	k ɐ p i t ɐ v ɛ l
CAPUT	k ɐ p u t i
CAPUTIRA	k ɐ p u t i ɾ ɐ
CAQUÉTICA	k ɐ k ɛ t i k ɐ
CAQUÉTICO	k ɐ k ɛ t i k u
CAQUÉTICOS	k ɐ k ɛ t i k u ʃ
CARACAL	k ɐ ɾ ɐ k ɐ l
CARACOL	k ɐ ɾ ɐ k ɔ l
CARACTER	k ɐ ɾ ɐ k i t ɛ ɾ
CARACTERES	k ɐ ɾ ɐ k i t ɛ ɾ i s
CARAL	k ɐ ɾ ɐ l
CARANDIRU	k ɐ ɾ ɐ̃ d i ɾ u
CARATINGA	k ɐ ɾ ɐ t ĩ ɡ ɐ
CARATISMO	k ɐ ɾ ɐ t i z m u
CARBURANTE	k ɐ ɾ b u ɾ ɐ̃ t i
CARBURANTES	k ɐ ɾ b u ɾ ɐ̃ t i ʃ
CARDAL	k ɐ ɾ d ɐ l
CARDEAL	k ɐ ɾ d e ɐ l
CARDIALGIA	k ɐ ɾ d i ɐ w ʒ i ɐ
CARDIGÃ	k ɐ ɾ d i ɡ ɐ̃
CARDIM	k ɐ ɾ d ĩ
CARDINA	k ɐ ɾ d i n ɐ
CARDINAIS	k ɐ ɾ d i n ɐ j ʃ
CARDINAL	k ɐ ɾ d i n ɐ l
CARDINALIDADE	k ɐ ɾ d i n ɐ l i d ɐ d i
CARDINALIDADES	k ɐ ɾ d i n ɐ l i d ɐ d i ʃ
CARDIO	k ɐ ɾ d i u
CARDIOGRAMA	k ɐ ɾ d i o ɡ ɾ ɐ m ɐ
CARDIOLOGIA	k ɐ ɾ d i o l o ʒ i ɐ
CARDIOLOGISTA	k ɐ ɾ d i o l o ʒ i ʃ t ɐ
CARDIOLOGISTAS	k ɐ ɾ d i o l o ʒ i ʃ t ɐ ʃ
CARDIOLÓGICA	k ɐ ɾ d i o l ɔ ʒ i k ɐ
CARDIOLÓGICAS	k ɐ ɾ d i o l ɔ ʒ i k ɐ ʃ
CARDIOLÓGICO	k ɐ ɾ d i o l ɔ ʒ i k u
CARDIOLÓGICOS	k ɐ ɾ d i o l ɔ ʒ i k u ʃ
CARDIOMEGALIA	k ɐ ɾ d i o m e ɡ ɐ l i ɐ
CARDIOMIOPATIA	k ɐ ɾ d i o m i o p ɐ t i ɐ
CARDIOPATA	k ɐ ɾ d i o p ɐ t ɐ
CARDIOPATIA	k ɐ ɾ d i o p ɐ t i ɐ
CARDIOPULMONAR	k ɐ ɾ d i o p u w m o n ɐ ɾ
CARDIOTOCOGRAFIA	k ɐ ɾ d i o t o k o ɡ ɾ ɐ f i ɐ
CARDIOVASCULARES	k ɐ ɾ d i o v ɐ ʃ k u l ɐ ɾ i ʃ
CARDIR	k ɐ ɾ d i ɾ
CARDÍACA	k ɐ ɾ d i ɐ k ɐ
CARDÍACAS	k ɐ ɾ d i ɐ k ɐ ʃ
CARDÍACO	k ɐ ɾ d i ɐ k u
CARDÍACOS	k ɐ ɾ d i ɐ k u ʃ
CARENTE	k ɐ ɾ ẽ t i
CARENTES	k ɐ ɾ ẽ t i ʃ
CARETICE	k ɐ ɾ e t i s i
CARETINHA	k ɐ ɾ e t i ɲ ɐ
CARICATURAL	k ɐ ɾ i k ɐ t u ɾ ɐ l
CARIDADE	k ɐ ɾ i d ɐ d i
CARIDADES	k ɐ ɾ i d ɐ d i ʃ
CARINHOSAMENTE	k ɐ ɾ i ɲ ɔ z ɐ m ẽ t i
CARISMÁTICA	k ɐ ɾ i z m ɐ t i k ɐ
CARISMÁTICAS	k ɐ ɾ i z m ɐ t i k ɐ ʃ
CARISMÁTICO	k ɐ ɾ i z m ɐ t i k u
CARISMÁTICOS	k ɐ ɾ i z m ɐ t i k u ʃ
CARITATIVA	k ɐ ɾ i t ɐ t i v ɐ
CARITATIVAMENTE	k ɐ ɾ i t ɐ t i v ɐ m ẽ t i
CARITATIVAS	k ɐ ɾ i t ɐ t i v ɐ ʃ
CARITATIVO	k ɐ ɾ i t ɐ t i v u
CARITATIVOS	k ɐ ɾ i t ɐ t i v u ʃ
CARIÁTIDE	k ɐ ɾ i ɐ t i d i
CARIÓTIPO	k ɐ ɾ i ɔ t i p u
CARL	k ɐ ɾ l
CARNAL	k ɐ ɾ n ɐ l
CARNALIDADE	k ɐ ɾ n ɐ l i d ɐ d i
CARNAVAL	k ɐ ɾ n ɐ v ɐ l
CARNIÇAL	k ɐ ɾ n i s ɐ l
CARNOSIDADE	k ɐ ɾ n o z i d ɐ d i
CAROL	k ɐ ɾ ɔ l
CARONTE	k ɐ ɾ õ t i
CAROTÍDEO	k ɐ ɾ o t i d j u
CAROÇOS	k ɐ ɾ ɔ s u s
CARPAL	k ɐ ɾ p ɐ l
CARPETE	k ɐ ɾ p ɛ t i
CARPETES	k ɐ ɾ p ɛ t i ʃ
CARRAL	k ɐ ʁ ɐ l
CARRAPATINHO	k ɐ ʁ ɐ p ɐ t i ɲ u
CARREGAL	k ɐ ʁ e ɡ ɐ l
CARRETE	k ɐ ʁ ɛ t i
CARRETEL	k ɐ ʁ e t ɛ l
CARRETILHA	k ɐ ʁ e t i ʎ ɐ
CARRETILHAS	k ɐ ʁ e t i ʎ ɐ ʃ
CARRIL	k ɐ ʁ i l
CARROSSEL	k ɐ ʁ o s ɛ l
CARROÇÁVEL	k ɐ ʁ o s ɐ v ɛ l
CARTE	k ɐ ɾ t i
CARTEL	k ɐ ɾ t ɛ l
CARTES	k ɐ ɾ t i ʃ
CARTILAGEM	k ɐ ɾ t i l ɐ ʒ ẽ
CARTILAGENS	k ɐ ɾ t i l ɐ ʒ ẽ ʃ
CARTILAGINOSAS	k ɐ ɾ t i l ɐ ʒ i n ɔ z ɐ ʃ
CARTILAGINOSO	k ɐ ɾ t i l ɐ ʒ i n o z u
CARTILAGINOSOS	k ɐ ɾ t i l ɐ ʒ i n ɔ z u ʃ
CARTILHA	k ɐ ɾ t i ʎ ɐ
CARTILHAS	k ɐ ɾ t i ʎ ɐ ʃ
CARTINHA	k ɐ ɾ t i ɲ ɐ
CARTINHAS	k ɐ ɾ t i ɲ ɐ ʃ
CARTISMO	k ɐ ɾ t i z m u
CARTISTAS	k ɐ ɾ t i ʃ t ɐ ʃ
CARTOMANTE	k ɐ ɾ t o m ɐ̃ t i
CARTOMANTES	k ɐ ɾ t o m ɐ̃ t i ʃ
CARTORIAL	k ɐ ɾ t o ɾ i ɐ l
CARVALHAL	k ɐ ɾ v ɐ ʎ ɐ l
CARÓTIDA	k ɐ ɾ ɔ t i d ɐ
CARÓTIDAS	k ɐ ɾ ɔ t i d ɐ ʃ
CASA-TE	k ɐ z ɐ t i
CASADINHOS	k ɐ z ɐ d i ɲ u ʃ
CASAGRANDE	k ɐ z ɐ ɡ ɾ ɐ̃ d i
CASAL	k ɐ z ɐ l
CASAR-SE-Á	k ɐ z ɐ ɾ s i ɐ ɐ s ẽ t u ɐ ɡ u d u
CASSAL	k ɐ s ɐ l
CASSETE	k ɐ s ɛ t i
CASSETES	k ɐ s ɛ t i ʃ
CASSETETE	k ɐ s e t ɛ t i
CASSETETES	k ɐ s e t ɛ t i ʃ
CASSILÂNDIA	k ɐ s i l ɐ̃ d i ɐ
CASSOULET	k ɐ s o w l e t i
CASUAIS	k ɐ z u ɐ j s
CASUAL	k ɐ z w ɐ l
CASUALIDADE	k ɐ z w ɐ l i d ɐ d i
CASUALIDADES	k ɐ z w ɐ l i d ɐ d i ʃ
CASUALMENTE	k ɐ z w ɐ w m ẽ t i
CATALÉPTICA	k ɐ t ɐ l ɛ p i t i k ɐ
CATALÉPTICO	k ɐ t ɐ l ɛ p i t i k u
CATALÍTICO	k ɐ t ɐ l i t i k u
CATCH	k ɐ t i ʃ
CATEDRÁTICA	k ɐ t e d ɾ ɐ t i k ɐ
CATEDRÁTICO	k ɐ t e d ɾ ɐ t i k u
CATEDRÁTICOS	k ɐ t e d ɾ ɐ t i k u ʃ
CATEGORIAL	k ɐ t e ɡ o ɾ i ɐ l
CATENDE	k ɐ t ẽ d i
CATENOIDE	k ɐ t e n o j d i
CATEQUÉTICA	k ɐ t e k ɛ t i k ɐ
CATEQUÉTICO	k ɐ t e k ɛ t i k u
CATETE	k ɐ t ɛ t i
CATI	k ɐ t i
CATIANO	k ɐ t i ɐ n u
CATIMBA	k ɐ t ĩ b ɐ
CATIMBAU	k ɐ t ĩ b ɐ w
CATIMBOU	k ɐ t ĩ b o w
CATIMBÓ	k ɐ t ĩ b ɔ
CATINGA	k ɐ t ĩ ɡ ɐ
CATINGUEIRA	k ɐ t ĩ ɡ e j ɾ ɐ
CATINGUEIRO	k ɐ t ĩ ɡ e j ɾ u
CATIRA	k ɐ t i ɾ ɐ
CATIREIRO	k ɐ t i ɾ e j ɾ u
CATITA	k ɐ t i t ɐ
CATITO	k ɐ t i t u
CATIVA	k ɐ t i v ɐ
CATIVADO	k ɐ t i v ɐ d u
CATIVAM	k ɐ t i v ɐ̃ w
CATIVANDO	k ɐ t i v ɐ̃ d u
CATIVANTE	k ɐ t i v ɐ̃ t i
CATIVANTES	k ɐ t i v ɐ̃ t i ʃ
CATIVAR	k ɐ t i v ɐ ɾ
CATIVARAM	k ɐ t i v ɐ ɾ ɐ̃ w
CATIVAS	k ɐ t i v ɐ ʃ
CATIVASSE	k ɐ t i v ɐ s i
CATIVASTE	k ɐ t i v ɐ ʃ t i
CATIVAVA	k ɐ t i v ɐ v ɐ
CATIVE	k ɐ t i v i
CATIVEI	k ɐ t i v e j
CATIVEIRO	k ɐ t i v e j ɾ u
CATIVEIROS	k ɐ t i v e j ɾ u ʃ
CATIVO	k ɐ t i v u
CATIVOS	k ɐ t i v u ʃ
CATIVOU	k ɐ t i v o w
CATIÔNICO	k ɐ t i o n i k u
CATORZE	k ɐ t o ɾ z i
CATUAL	k ɐ t w ɐ l
CATUTI	k ɐ t u t i
CATÁRTICAS	k ɐ t ɐ ɾ t i k ɐ ʃ
CATÁRTICO	k ɐ t ɐ ɾ t i k u
CATÁSTROFES	k ɐ t ɐ s t ɾ o f i s
CATÓDICA	k ɐ t ɔ d i k ɐ
CATÓDICOS	k ɐ t ɔ d i k u ʃ
CAUCHAL	k ɐ w ʃ ɐ l
CAUDAL	k ɐ w d ɐ l
CAUDILHISMO	k ɐ w d i ʎ i z m u
CAUDILHO	k ɐ w d i ʎ u
CAUDILHOS	k ɐ w d i ʎ u ʃ
CAUDINHA	k ɐ w d i ɲ ɐ
CAUSAL	k ɐ w z ɐ l
CAUSALIDADE	k ɐ w z ɐ l i d ɐ d i
CAUSATIVA	k ɐ w z ɐ t i v ɐ
CAUSÍDICO	k ɐ w z i d i k u
CAUTELOSAMENTE	k ɐ w t e l ɔ z ɐ m ẽ t i
CAVALCANTE	k ɐ v ɐ w k ɐ̃ t i
CAVALETE	k ɐ v ɐ l ɛ t i
CAVALETES	k ɐ v ɐ l ɛ t i ʃ
CAVALHEIRESCAMENTE	k ɐ v ɐ ʎ e j ɾ e s k ɐ m ẽ tʃ i
CAVATI	k ɐ v ɐ t i
CAVIDADE	k ɐ v i d ɐ d i
CAVIDADES	k ɐ v i d ɐ d i ʃ
CAÇANTE	k ɐ s ɐ̃ t i
CAÇONETE	k ɐ s o n ɛ t i
CAÓTICA	k ɐ ɔ t i k ɐ
CAÓTICAS	k ɐ ɔ t i k ɐ ʃ
CAÓTICO	k ɐ ɔ t i k u
CAÓTICOS	k ɐ ɔ t i k u ʃ
CBA	s e b e ɐ
CBAT	s e b e ɐ t e
CBB	s e b e b e
CBD	s e b e d e
CBDA	s e b e d e ɐ
CBT	s e b e t e
CBV	s e b e v e
CC	s e s e
CCB	s e s e b e
CCC	s e s e s e
CCI	s e s e i
CCIR	s e s e i ɛ ʁ i
CCV	s e s e v e
CD	s e d e
CDB	s e d e b e
CDC	s e d e s e
CDD	s e d e d e
CDI	s e d e i
CDU	s e d e u
CDV	s e d e v e
CEDE	s ɛ d i
CEDENTE	s e d ẽ t i
CEDES	s ɛ d i ʃ
CEDI	s e d i
CEDIA	s e d i ɐ
CEDIAM	s e d i ɐ̃ w
CEDIDA	s e d i d ɐ
CEDIDAS	s e d i d ɐ ʃ
CEDIDO	s e d i d u
CEDIDOS	s e d i d u ʃ
CEDILHA	s e d i ʎ ɐ
CEDINHO	s e d i ɲ u
CEDIÇA	s e d i s ɐ
CEDIÇO	s e d i s u
CEDO	s e d u
CEDROL	s e d ɾ ɔ l
CEFALÓPODES	s e f ɐ l ɔ p o d i ʃ
CEFET	s e f ɛ t i
CEGAMENTE	s ɛ ɡ ɐ m ẽ t i
CEGOS	s ɛ ɡ u s
CEILÂNDIA	s e j l ɐ̃ d i ɐ
CEITIL	s e j t i l
CELEBRANTE	s e l e b ɾ ɐ̃ t i
CELEBRATIVO	s e l e b ɾ ɐ t i v u
CELEBRIDADE	s e l e b ɾ i d ɐ d i
CELEBRIDADES	s e l e b ɾ i d ɐ d i ʃ
CELEREMENTE	s e l e ɾ i m ẽ t i
CELERIDADE	s e l e ɾ i d ɐ d i
CELERÍPEDE	s e l e ɾ i p e d i
CELESTE	s e l ɛ s tʃ i
CELESTES	s e l ɛ s tʃ i s
CELETISTA	s e l e t i ʃ t ɐ
CELULITE	s e l u l i t i
CELULITES	s e l u l i t i ʃ
CENOBIAL	s e n o b i ɐ l
CENOTE	s e n ɔ t i
CENSURÁVEL	s ẽ s u ɾ ɐ v ɛ l
CENTENAS	s ẽ t e n ɐ ʃ
CENTER	s ẽ t ɛ ɾ
CENTERS	s ẽ t ɛ ɾ s
CENTRAL	s ẽ t ɾ ɐ l
CENTRALIDADE	s ẽ t ɾ ɐ l i d ɐ d i
CENTRALIDADES	s ẽ t ɾ ɐ l i d ɐ d i ʃ
CENTRAVANTE	s ẽ t ɾ ɐ v ɐ̃ t i
CENTROAVANTE	s ẽ t ɾ o ɐ v ɐ̃ t i
CENTROAVANTES	s ẽ t ɾ o ɐ v ɐ̃ t i ʃ
CENTROIDE	s ẽ t ɾ o j d i
CENTÍGRADOS	s ẽ t i ɡ ɾ ɐ d u ʃ
CENTÍMETRO	s ẽ t i m e t ɾ u
CEO	s i i o w
CEPAL	s e p ɐ l
CEPTICISMO	s e p i t i s i z m u
CER	s ɛ ɾ
CERCA	s e ɾ k ɐ
CERCADINHO	s e ɾ k ɐ d i ɲ u
CERCADINHOS	s e ɾ k ɐ d i ɲ u ʃ
CERCAL	s e ɾ k ɐ l
CEREAL	s e ɾ e ɐ l
CEREBRAL	s e ɾ e b ɾ ɐ l
CERIMONIAL	s e ɾ i m o n i ɐ l
CEROL	s e ɾ ɔ l
CERTAMENTE	s ɛ ɾ t ɐ m ẽ t i
CERTE	s ɛ ɾ t i
CERTIDÃO	s e ɾ t i d ɐ̃ w
CERTIDÕES	s e ɾ t i d õ j ʃ
CERTIFICA	s e ɾ t i f i k ɐ
CERTIFICADA	s e ɾ t i f i k ɐ d ɐ
CERTIFICADAS	s e ɾ t i f i k ɐ d ɐ ʃ
CERTIFICADO	s e ɾ t i f i k ɐ d u
CERTIFICADOR	s e ɾ t i f i k ɐ d o ɾ
CERTIFICADORA	s e ɾ t i f i k ɐ d o ɾ ɐ
CERTIFICADORAS	s e ɾ t i f i k ɐ d o ɾ ɐ ʃ
CERTIFICADORES	s e ɾ t i f i k ɐ d ɔ ɾ i ʃ
CERTIFICADOS	s e ɾ t i f i k ɐ d u ʃ
CERTIFICAM	s e ɾ t i f i k ɐ̃ w
CERTIFICAMOS	s e ɾ t i f i k ɐ m u ʃ
CERTIFICANDO	s e ɾ t i f i k ɐ̃ d u
CERTIFICAR	s e ɾ t i f i k ɐ ɾ
CERTIFICAR-SE	s e ɾ t i f i k ɐ ɾ s i
CERTIFICAREM	s e ɾ t i f i k ɐ ɾ ẽ
CERTIFICARMOS	s e ɾ t i f i k ɐ ɾ m u ʃ
CERTIFICARÁ	s e ɾ t i f i k ɐ ɾ ɐ
CERTIFICASSE	s e ɾ t i f i k ɐ s i
CERTIFICAÇÃO	s e ɾ t i f i k ɐ s ɐ̃ w
CERTIFICAÇÕES	s e ɾ t i f i k ɐ s õ j ʃ
CERTIFICO	s e ɾ t i f i k u
CERTIFICOU	s e ɾ t i f i k o w
CERTIFIQUE	s e ɾ t i f i k i
CERTIFIQUE-SE	s e ɾ t i f i k i s i
CERTIFIQUEI	s e ɾ t i f i k e j
CERTIFIQUEM	s e ɾ t i f i k ẽ
CERTÍSSIMA	s e ɾ t i s i m ɐ
CERTÍSSIMAS	s e ɾ t i s i m ɐ ʃ
CERTÍSSIMO	s e ɾ t i s i m u
CERVAL	s e ɾ v ɐ l
CERVANTES	s e ɾ v ɐ̃ t i ʃ
CERVICAL	s e ɾ v i k ɐ l
CERVOS	s ɛ ɾ v u s
CESSANTE	s e s ɐ̃ t i
CESSANTES	s e s ɐ̃ t i ʃ
CESTOS	s e s t u s
CETICISMO	s e t i s i z m u
CETIM	s e t ĩ
CETINA	s e t i n ɐ
CETINETA	s e t i n e t ɐ
CETINOSA	s e t i n ɔ z ɐ
CETINOSAS	s e t i n ɔ z ɐ ʃ
CETINOSOS	s e t i n ɔ z u ʃ
CETINS	s e t ĩ ʃ
CETO	s ɛ t u
CG	s e ʒ e
CGC	s e ʒ e s e
CGD	s e ʒ e d e
CGT	s e ʒ e t e
CGTP	s e ʒ e t e p e
CGU	s e ʒ e u
CHACAL	ʃ ɐ k ɐ l
CHACRETE	ʃ ɐ k ɾ ɛ t i
CHADE	ʃ ɐ d i
CHALEZINHO	ʃ ɐ l ɛ z i ɲ u
CHALEZINHOS	ʃ ɐ l ɛ z i ɲ u s
CHAMADINHA	ʃ ɐ m ɐ d i ɲ ɐ
CHAMALOTE	ʃ ɐ m ɐ l ɔ t i
CHAMATIVA	ʃ ɐ m ɐ t i v ɐ
CHAMATIVAS	ʃ ɐ m ɐ t i v ɐ ʃ
CHAMATIVO	ʃ ɐ m ɐ t i v u
CHAMATIVOS	ʃ ɐ m ɐ t i v u ʃ
CHAMBARIL	ʃ ɐ̃ b ɐ ɾ i l
CHAMEJANTES	ʃ ɐ m e ʒ ɐ̃ t i ʃ
CHANCELER	ʃ ɐ̃ s e l ɛ ɾ
CHANCELERES	ʃ ɐ̃ s e l ɛ ɾ i s
CHANTAL	ʃ ɐ̃ t ɐ l
CHANTILLY	ʃ ɐ̃ t i l i
CHAPARRAL	ʃ ɐ p ɐ ʁ ɐ l
CHAPOLETE	ʃ ɐ p o l ɛ t i
CHARLOTTE	ʃ ɐ ɾ l ɔ t i
CHARRETE	ʃ ɐ ʁ ɛ t i
CHARRETES	ʃ ɐ ʁ ɛ t i ʃ
CHARUTINHO	ʃ ɐ ɾ u t i ɲ u
CHARUTINHOS	ʃ ɐ ɾ u t i ɲ u ʃ
CHAT	ʃ ɐ t i
CHATEAUBRIAND	ʃ ɐ t e ɐ w b ɾ i ɐ̃ d i
CHATICE	ʃ ɐ t i s i
CHATICES	ʃ ɐ t i s i ʃ
CHATIM	ʃ ɐ t ĩ
CHATÍSSIMA	ʃ ɐ t i s i m ɐ
CHATÍSSIMO	ʃ ɐ t i s i m u
CHAVAL	ʃ ɐ v ɐ l
CHAVANTES	ʃ ɐ v ɐ̃ t i ʃ
CHECK	ʃ ɛ k i
CHECK-IN	ʃ ɛ k i ĩ
CHEF	ʃ e f
CHEFETE	ʃ e f ɛ t i
CHEGA	ʃ e ɡ ɐ
CHEGA-SE	ʃ e ɡ ɐ s i
CHEGA-TE	ʃ e ɡ ɐ t i
CHEGADINHA	ʃ e ɡ ɐ d i ɲ ɐ
CHEGADINHO	ʃ e ɡ ɐ d i ɲ u
CHEGADINHOS	ʃ e ɡ ɐ d i ɲ u ʃ
CHEGAM	ʃ e ɡ ɐ̃ w
CHEGANTE	ʃ e ɡ ɐ̃ t i
CHEGAS	ʃ e ɡ ɐ s
CHEGO	ʃ e ɡ u
CHESF	ʃ ɛ s f
CHETA	ʃ ɛ t ɐ
CHETO	ʃ ɛ t u
CHEVIOTES	ʃ e v i ɔ t i ʃ
CHIANTE	ʃ i ɐ̃ t i
CHIBOLETE	ʃ i b o l ɛ t i
CHICLETE	ʃ i k l ɛ t i
CHICLETES	ʃ i k l ɛ t i ʃ
CHICOTE	ʃ i k ɔ t i
CHICOTES	ʃ i k ɔ t i ʃ
CHICOTINHO	ʃ i k o t i ɲ u
CHILETE	ʃ i l ɛ t i
CHIQUETE	ʃ i k ɛ t i
CHOCANTE	ʃ o k ɐ̃ t i
CHOCANTEMENTE	ʃ o k ɐ̃ t i m ẽ t i
CHOCANTES	ʃ o k ɐ̃ t i ʃ
CHOCOLATE	ʃ o k o l ɐ t i
CHOCOLATES	ʃ o k o l ɐ t i ʃ
CHOCOS	ʃ o k u s
CHOFER	ʃ o f ɛ ɾ
CHORA	ʃ ɔ ɾ ɐ
CHORADINHO	ʃ o ɾ ɐ d i ɲ u
CHORAS	ʃ ɔ ɾ ɐ s
CHOROS	ʃ o ɾ u s
CHOROSAMENTE	ʃ o ɾ ɔ z ɐ m ẽ t i
CHOUPAL	ʃ o w p ɐ l
CHOVA	ʃ o v ɐ
CHOVAM	ʃ o v ɐ̃ w
CHUCRUTE	ʃ u k ɾ u t i
CHUCRUTES	ʃ u k ɾ u t i ʃ
CHUPETINHA	ʃ u p e t i ɲ ɐ
CHUTE	ʃ u t i
CHUTES	ʃ u t i ʃ
CHUTNEY	ʃ u t i n e j
CIANORTE	s i ɐ n ɔ ɾ t i
CIANOTIPIA	s i ɐ n o t i p i ɐ
CIANÓTICO	s i ɐ n ɔ t i k u
CIBERATIVISMO	s i b e ɾ ɐ t i v i z m u
CIBERNÉTICA	s i b e ɾ n ɛ t i k ɐ
CIBERNÉTICAS	s i b e ɾ n ɛ t i k ɐ ʃ
CIBERNÉTICO	s i b e ɾ n ɛ t i k u
CIBERNÉTICOS	s i b e ɾ n ɛ t i k u ʃ
CICATRICIAL	s i k ɐ t ɾ i s i ɐ l
CICATRIZANTE	s i k ɐ t ɾ i z ɐ̃ t i
CICATRIZANTES	s i k ɐ t ɾ i z ɐ̃ t i ʃ
CICIANTE	s i s i ɐ̃ t i
CICLICAMENTE	s i k l i k ɐ m ẽ t i
CICLICIDADE	s i k l i s i d ɐ d i
CICLOPÉDIA	s i k l o p ɛ d i ɐ
CICLOTÍMICO	s i k l o t i m i k u
CICLÁVEL	s i k l ɐ v ɛ l
CID	s i d i
CIDADE	s i d ɐ d i
CIDADES	s i d ɐ d i ʃ
CIDADEZINHA	s i d ɐ d i z i ɲ ɐ
CIDADEZINHAS	s i d ɐ d i z i ɲ ɐ ʃ
CIDE	s i d i
CIDELÂNDIA	s i d e l ɐ̃ d i ɐ
CIDRAL	s i d ɾ ɐ l
CIENTE	s i ẽ t i
CIENTES	s i ẽ t i ʃ
CIENTIFICA	s i ẽ t i f i k ɐ
CIENTIFICADO	s i ẽ t i f i k ɐ d u
CIENTIFICARÁ	s i ẽ t i f i k ɐ ɾ ɐ
CIENTIFICAS	s i ẽ t i f i k ɐ ʃ
CIENTIFICAÇÃO	s i ẽ t i f i k ɐ s ɐ̃ w
CIENTIFICIDADE	s i ẽ t i f i s i d ɐ d i
CIENTIFICISMO	s i ẽ t i f i s i z m u
CIENTISMO	s i ẽ t i z m u
CIENTISTA	s i ẽ t i ʃ t ɐ
CIENTISTAS	s i ẽ t i ʃ t ɐ ʃ
CIENTÍFICA	s i ẽ t i f i k ɐ
CIENTÍFICAS	s i ẽ t i f i k ɐ ʃ
CIENTÍFICO	s i ẽ t i f i k u
CIENTÍFICOS	s i ẽ t i f i k u ʃ
CII	s i i
CINDIDA	s ĩ d i d ɐ
CINDIDAS	s ĩ d i d ɐ ʃ
CINDIDO	s ĩ d i d u
CINDIDOS	s ĩ d i d u ʃ
CINDIR	s ĩ d i ɾ
CINDIU	s ĩ d i w
CINEGÉTICAS	s i n e ʒ ɛ t i k ɐ ʃ
CINELÂNDIA	s i n e l ɐ̃ d i ɐ
CINEMÁTICA	s i n e m ɐ t i k ɐ
CINEMÁTICO	s i n e m ɐ t i k u
CINEMÁTICOS	s i n e m ɐ t i k u ʃ
CINQUENTINHA	s ĩ k ẽ t i ɲ ɐ
CINTILA	s ĩ t i l ɐ
CINTILAM	s ĩ t i l ɐ̃ w
CINTILANDO	s ĩ t i l ɐ̃ d u
CINTILANTE	s ĩ t i l ɐ̃ t i
CINTILANTES	s ĩ t i l ɐ̃ t i ʃ
CINTILAR	s ĩ t i l ɐ ɾ
CINTILARAM	s ĩ t i l ɐ ɾ ɐ̃ w
CINTILAVA	s ĩ t i l ɐ v ɐ
CINTILAVAM	s ĩ t i l ɐ v ɐ̃ w
