ㄱ	k i jʌ k
다양성을	t a ja ŋ ss ʌ ŋ ɯ l
다양성이	t a ja ŋ s ʌ ŋ i
다양하게	t a ja ŋ x a g e
다양하고	t a ja ŋ x a g o
다양하기	t a ja ŋ x a g i
다양하다	t a ja ŋ x a d a
다양하죠	t a ja ŋ x a ʣ jo
다양하지만	t a ja ŋ x a ʣ i m a n
다양한	t a ja ŋ x a n
다양한데	t a ja ŋ x a n d e
다양한데요	t a ja ŋ x a n d e jo
다양할	t a ja ŋ x a l
다양합니다	t a ja ŋ x a m n i d a
다양해	t a ja ŋ x ɛ
다양해서	t a ja ŋ x e s ʌ
다양해요	t a ja ŋ x ɛ jo
다에	t a e
다에게	t a e g e
다에요	t a e jo
다역	t a jʌ k
다예	t a je
다예요	t a je jo
다오	t a o
다온	t a o n
다올	t a o l
다옴	t a o m
다와	t a wa
다완	t a wa n
다요	t a jo
다용도	t a jo ŋ d o
다용도로	t a jo ŋ d o r o
다용도실	t a jo ŋ d o s i l
다우	t a u
다우리	t a u r i
다운	t a u n
다운데	t a u n d e
다운된	t a u n d ø n
다운로드	t a u n n o d ɯ
다운로드가	t a u l l o d ɯ g a
다운로드를	t a u l l o d ɯ r ɯ l
다운받아	t a u n b a d a
다운받아서	t a u n b a d a s ʌ
다운받을	t a u n b a d ɯ l
다운사이징	t a u n ss a i ʣ i ŋ
다운스윙	t a u n s ɯ wi ŋ
다운스윙을	t a u n s ɯ wi ŋ ɯ l
다운시	t a u n s i
다운은	t a u n ɯ n
다운을	t a u n ɯ l
다운의	t a u n i
다운이	t a u n i
다워	t a wʌ
다워야	t a wʌ ja
다원	t a wʌ n
다윈	t a wi n
다윈은	t a wi n ɯ n
다윗	t a wi t
다윗과	t a wi t gg wa
다윗도	t a wi t dd o
다윗에	t a wi s e
다윗에게	t a wi s e g e
다윗은	t a wi s ɯ n
다윗을	t a wi s ɯ l
다윗의	t a wi s i
다윗이	t a wi s i
다육	t a ju k
다육식물	t a ju k ss i ŋ m u l
다육이	t a ju g i
다육이가	t a ju g i g a
다육이는	t a ju g i n ɯ n
다육이들	t a ju g i d ɯ l
다육이를	t a ju g i r ɯ l
다음	t a ɯ m
다음과	t a ɯ m g wa
다음날	t a ɯ m n a l
다음날도	t a ɯ m n a l d o
다음날부터	t a ɯ m n a l b u tʰ ʌ
다음날에	t a ɯ m n a r e
다음날은	t a ɯ m n a r ɯ n
다음날이	t a ɯ m n a r i
다음달	t a ɯ m dd a l
다음달에	t a ɯ m d a r e
다음도	t a ɯ m d o
다음번	t a ɯ m bb ʌ n
다음번에	t a ɯ m b ʌ n e
다음번에는	t a ɯ m b ʌ n e n ɯ n
다음번엔	t a ɯ m b ʌ n e n
다음부터	t a ɯ m b u tʰ ʌ
다음부터는	t a ɯ m b u tʰ ʌ n ɯ n
다음부턴	t a ɯ m b u tʰ ʌ n
다음세대	t a ɯ m s e d ɛ
다음시간에	t a ɯ m s i g a n e
다음에	t a ɯ m e
다음에는	t a ɯ m e n ɯ n
다음에도	t a ɯ m e d o
다음에서	t a ɯ m e s ʌ
다음에야	t a ɯ m e ja
다음에요	t a ɯ m e jo
다음에이	t a ɯ m e i
다음엔	t a ɯ m e n
다음으로	t a ɯ m ɯ r o
다음으로는	t a ɯ m ɯ r o n ɯ n
다음으론	t a ɯ m ɯ r o n
다음은	t a ɯ m ɯ n
다음을	t a ɯ m ɯ l
다음의	t a ɯ m i
다음이	t a ɯ m i
다음입니다	t a ɯ m i m n i d a
다음장	t a ɯ m ʣ a ŋ
다음주	t a ɯ m ʨʨ u
다음주까지	t a ɯ m ʣ u gg a ʣ i
다음주는	t a ɯ m ʣ u n ɯ n
다음주에	t a ɯ m ʣ u e
다음주에는	t a ɯ m ʣ u e n ɯ n
다음처럼	t a ɯ m ʨʰ ʌ r ʌ m
다음해	t a ɯ m x ɛ
다음화에서	t a ɯ m x wa e s ʌ
다이	t a i
다이가	t a i g a
다이고	t a i g o
다이나믹	t a i n a m i k
다이나믹하게	t a i n a m i kʰ a g e
다이너스티	t a i n ʌ s ɯ tʰ i
다이렉트	t a i r e k tʰ ɯ
다이렉트로	t a i r e k tʰ ɯ r o
다이를	t a i r ɯ l
다이버	t a i b ʌ
다이버전스	t a i b ʌ ʣ ʌ n s ɯ
다이브	t a i b ɯ
다이빙	t a i b i ŋ
다이빙을	t a i b i ŋ ɯ l
다이소	t a i s o
다이소에	t a i s o e
다이소에서	t a i s o e s ʌ
다이쇼	t a i s jo
다이스	t a i ss ɯ
다이슨	t a i s ɯ n
다이아	t a i a
다이아가	t a i a g a
다이아를	t a i a r ɯ l
다이아몬드	t a i a m o n d ɯ
다이아몬드가	t a i a m o n d ɯ g a
다이아몬드를	t a i a m o n d ɯ r ɯ l
다이알	t a i a l
다이앤	t a i ɛ n
다이어	t a i ʌ
다이어리	t a i ʌ r i
다이어리꾸미기	t a i ʌ r i gg u m i g i
다이어리를	t a i ʌ r i r ɯ l
다이어리에	t a i ʌ r i e
다이어터	t a i ʌ tʰ ʌ
다이어트	t a i ʌ tʰ ɯ
다이어트가	t a i ʌ tʰ ɯ g a
다이어트는	t a i ʌ tʰ ɯ n ɯ n
다이어트로	t a i ʌ tʰ ɯ r o
다이어트를	t a i ʌ tʰ ɯ r ɯ l
다이어트에	t a i ʌ tʰ ɯ e
다이얼	t a i ʌ l
다이얼에	t a i ʌ r e
다이얼을	t a i ʌ r ɯ l
다이오드	t a i o d ɯ
다이제	t a i ʣ e
다이제스티브	t a i ʣ e ss ɯ tʰ i b ɯ
다이크	t a i kʰ ɯ
다인	t a i n
다인데	t a i n d e
다인이	t a i n i
다일	t a i l
다임	t a i m
다입니다	t a i m n i d a
다잉	t a i ŋ
다자	t a ʣ a
다잡고	t a ʣ a p gg o
다잡아	t a ʣ a b a
다장조	t a ʣ a ŋ ʨʨ o
다정	t a ʣ ʌ ŋ
다정하게	t a ʣ ʌ ŋ x a g e
다정하고	t a ʣ ʌ ŋ x a g o
다정한	t a ʣ ʌ ŋ x a n
다져	t a ʣ jʌ
다져서	t a ʣ jʌ s ʌ
다져야	t a ʣ jʌ ja
다졌다	t a ʣ jʌ t dd a
다주택	t a ʣ u tʰ ɛ k
다주택자	t a ʣ u tʰ ɛ k ʨʨ a
다주택자가	t a ʣ u tʰ ɛ k ʨʨ a g a
다중	t a ʣ u ŋ
다지	t a ʣ i
다지고	t a ʣ i g o
다지기	t a ʣ i g i
다지는	t a ʣ i n ɯ n
다진	t a ʣ i n
다진마늘	t a ʣ i n m a n ɯ l
다질	t a ʣ i l
다짐	t a ʣ i m
다짐을	t a ʣ i m ɯ l
다짐하고자	t a ʣ i m x a g o ʣ a
다짐하는	t a ʣ i m x a n ɯ n
다짜고짜	t a ʨʨ a g o ʨʨ a
다채로운	t a ʨʰ ɛ r o u n
다채롭게	t a ʨʰ ɛ r o p gg e
다쳐	t a ʨʰ jʌ
다쳐서	t a ʨʰ jʌ s ʌ
다쳐요	t a ʨʰ jʌ jo
다쳤어	t a ʨʰ jʌ ss ʌ
다쳤어요	t a ʨʰ jʌ ss ʌ jo
다쳤을	t a ʨʰ jʌ ss ɯ l
다치거나	t a ʨʰ i g ʌ n a
다치게	t a ʨʰ i g e
다치고	t a ʨʰ i g o
다치는	t a ʨʰ i n ɯ n
다치면	t a ʨʰ i m jʌ n
다치지	t a ʨʰ i ʣ i
다친	t a ʨʰ i n
다칠	t a ʨʰ i l
다카	t a kʰ a
다큐	t a kʰ ju
다큐멘터리	t a kʰ ju m e n tʰ ʌ r i
다크	t a kʰ ɯ
다크라이더	t a kʰ ɯ r a i d ʌ
다크서클	t a kʰ ɯ ss ʌ kʰ ɯ l
다크서클이	t a kʰ ɯ ss ʌ kʰ ɯ r i
다큰	t a kʰ ɯ n
다투고	t a tʰ u g o
다투는	t a tʰ u n ɯ n
다투어	t a tʰ u ʌ
다투지	t a tʰ u ʣ i
다툴	t a tʰ u l
다툼	t a tʰ u m
다툼을	t a tʰ u m ɯ l
다툼이	t a tʰ u m i
다트	t a tʰ ɯ
다포	t a pʰ o
다하게	t a x a g e
다하겠다	t a x a g e t dd a
다하겠습니다	t a x a g e t ss ɯ m n i d a
다하고	t a x a g o
다하기	t a x a g i
다하는	t a x a n ɯ n
다하는데	t a x a n ɯ n d e
다하며	t a x a m jʌ
다하면	t a x a m jʌ n
다하면서	t a x a m jʌ n s ʌ
다하여	t a x a jʌ
다하자	t a x a ʣ a
다하지	t a x a ʣ i
다학제적	t a x a k ʨʨ e ʣ ʌ k
다한	t a x a n
다한다	t a x a n d a
다할	t a x a l
다함께	t a x a m gg e
다합니다	t a x a m n i d a
다해	t a x ɛ
다해도	t a x ɛ d o
다해서	t a x ɛ s ʌ
다해야	t a x ɛ ja
다해요	t a x ɛ jo
다했고	t a x e t gg o
다했는데	t a x e n n ɯ n d e
다했다	t a x e t dd a
다했다고	t a x ɛ t dd a g o
다했습니다	t a x e t ss ɯ m n i d a
다했어	t a x e ss ʌ
다행	t a x ɛ ŋ
다행스러운	t a x ɛ ŋ s ɯ r ʌ u n
다행스럽게도	t a x e ŋ s ɯ r ʌ p gg e d o
다행이	t a x ɛ ŋ i
다행이고	t a x ɛ ŋ i g o
다행이네요	t a x ɛ ŋ i n e jo
다행이다	t a x ɛ ŋ i d a
다행이라	t a x ɛ ŋ i r a
다행이라고	t a x ɛ ŋ i r a g o
다행이야	t a x ɛ ŋ i ja
다행이에요	t a x ɛ ŋ i e jo
다행이죠	t a x ɛ ŋ i ʣ jo
다행이지	t a x ɛ ŋ i ʣ i
다행이지만	t a x ɛ ŋ i ʣ i m a n
다행인	t a x ɛ ŋ i n
다행인건	t a x ɛ ŋ i n g ʌ n
다행인데	t a x ɛ ŋ i n d e
다행입니다	t a x ɛ ŋ i m n i d a
다행히	t a x ɛ ŋ x i
다행히도	t a x e ŋ x i d o
다혈질	t a x jʌ l ʨʨ i l
다희	t a x i
닥	t a k
닥쳐	t a k ʨʰ jʌ
닥쳤을	t a k ʨʰ jʌ ss ɯ l
닥치게	t a k ʨʰ i g e
닥치고	t a k ʨʰ i g o
닥치는	t a k ʨʰ i n ɯ n
닥치면	t a k ʨʰ i m jʌ n
닥친	t a k ʨʰ i n
닥친다	t a k ʨʰ i n d a
닥칠	t a k ʨʰ i l
닥터	t a k tʰ ʌ
닦	t a k
닦거나	t a k gg ʌ n a
닦게	t a k gg e
닦고	t a k gg o
닦기	t a k gg i
닦기를	t a k gg i r ɯ l
닦는	t a ŋ n ɯ n
닦는데	t a ŋ n ɯ n d e
닦다	t a k dd a
닦아	t a gg a
닦아내	t a gg a n ɛ
닦아내고	t a gg a n ɛ g o
닦아내기	t a gg a n ɛ g i
닦아도	t a gg a d o
닦아라	t a gg a r a
닦아서	t a gg a s ʌ
닦아야	t a gg a ja
닦아요	t a gg a jo
닦아주고	t a gg a ʣ u g o
닦았다	t a gg a t dd a
닦여	t a gg jʌ
닦으러	t a gg ɯ r ʌ
닦으면	t a gg ɯ m jʌ n
닦은	t a gg ɯ n
닦을	t a gg ɯ l
닦음	t a gg ɯ m
닦이는	t a gg i n ɯ n
닦인	t a gg i n
닦지	t a k ʨʨ i
단	t a n
단가	t a n gg a
단가가	t a n gg a g a
단가를	t a n gg a r ɯ l
단가표	t a n gg a pʰ jo
단간	t a n gg a n
단감	t a n g a m
단거	t a n g ʌ
단거리	t a n g ʌ r i
단걸	t a n g ʌ l
단검	t a n g ʌ m
단결	t a n g jʌ l
단계	t a n g je
단계가	t a n g je g a
단계까지	t a n g je gg a ʣ i
단계는	t a n g je n ɯ n
단계다	t a n g je d a
단계도	t a n g je d o
단계라고	t a n g je r a g o
단계로	t a n g je r o
단계를	t a n g je r ɯ l
단계마다	t a n g je m a d a
단계별	t a n g je b jʌ l
단계별로	t a n g je b jʌ l l o
단계부터	t a n g je b u tʰ ʌ
단계씩	t a n g je ss i k
단계에	t a n g je e
단계에서	t a n g je e s ʌ
단계에서는	t a n g je e s ʌ n ɯ n
단계와	t a n g je wa
단계의	t a n g je e
단계이기	t a n g je i g i
단계인	t a n g je i n
단계인데	t a n g je i n d e
단계입니다	t a n g je i m n i d a
단계적으로	t a n g je ʣ ʌ g ɯ r o
단골	t a n g o l
단골로	t a n g o l l o
단과	t a n gg wa
단과의	t a n gg wa e
단관	t a n g wa n
단군	t a n g u n
단군이	t a n g u n i
단기	t a n g i
단기가	t a n g i g a
단기간	t a n g i g a n
단기간에	t a n g i g a n e
단기고점	t a n g i g o ʣ ʌ m
단기로	t a n g i r o
단기성	t a n g i s ʌ ŋ
단기에	t a n g i e
단기적으로	t a n g i ʣ ʌ g ɯ r o
단기적으로는	t a n g i ʣ ʌ g ɯ r o n ɯ n
단기적인	t a n g i ʣ ʌ g i n
단다	t a n d a
단단	t a n d a n
단단하게	t a n d a n x a g e
단단하고	t a n d a n x a g o
단단한	t a n d a n x a n
단단해	t a n d a n x ɛ
단단히	t a n d a n x i
단당류	t a n d a ŋ n ju
단도	t a n d o
단도직입적으로	t a n d o ʣ i g i p ʨʨ ʌ g ɯ r o
단독	t a n d o k
단독선두	t a n d o k s ʌ n d u
단독으로	t a n d o g ɯ r o
단독주택	t a n d o k ʨʨ u tʰ ɛ k
단독주택용지	t a n d o k ʨʨ u tʰ ɛ ŋ jo ŋ ʣ i
단독주택은	t a n d o k ʨ u tʰ e g ɯ n
단독주택을	t a n d o k ʨ u tʰ e g ɯ l
단독주택이나	t a n d o k ʨ u tʰ e g i n a
단독주택지	t a n d o k ʨʨ u tʰ ɛ k ʨʨ i
단돈	t a n d o n
단둘이	t a n d u r i
단디	t a n d i
단락	t a l l a k
단렌즈	t a n n e n ʣ ɯ
단련	t a l l jʌ n
단련을	t a l l jʌ n ɯ l
단말	t a n m a l
단말기	t a n m a l g i
단맛	t a n m a t
단맛과	t a n m a t gg wa
단맛을	t a n m a s ɯ l
단맛이	t a n m a s i
단면	t a n m jʌ n
단면을	t a n m jʌ n ɯ l
단면이	t a n m jʌ n i
단명	t a n m jʌ ŋ
단무지	t a n m u ʣ i
단박에	t a n b a g e
단발	t a n b a l
단백	t a n b ɛ k
단백질	t a n b ɛ k ʨʨ i l
단백질과	t a n b e k ʨ i l g wa
단백질로	t a n b e k ʨ i l l o
단백질에	t a n b e k ʨ i r e
단백질은	t a n b ɛ k ʨʨ i r ɯ n
단백질을	t a n b e k ʨ i r ɯ l
단백질의	t a n b e k ʨ i r i
단백질이	t a n b ɛ k ʨʨ i r i
단백질입니다	t a n b e k ʨ i r i m n i d a
단번에	t a n b ʌ n e
단비	t a n b i
단상	t a n s a ŋ
단상에	t a n s a ŋ e
단색	t a n s ɛ k
단서	t a n s ʌ
단서가	t a n s ʌ g a
단서를	t a n s ʌ r ɯ l
단선율	t a n s ʌ n ju l
단소	t a n s o
단속	t a n s o k
단속에	t a n s o g e
단속을	t a n s o g ɯ l
단수	t a n s u
단수가	t a n s u g a
단순	t a n s u n
단순성	t a n s u n ss ʌ ŋ
단순하게	t a n s u n x a g e
단순하고	t a n s u n x a g o
단순한	t a n s u n x a n
단순합니다	t a n s u n x a m n i d a
단순해	t a n s u n x ɛ
단순해요	t a n s u n x e jo
단순화	t a n s u n x wa
단순히	t a n s u n x i
단숨에	t a n s u m e
단시간	t a n s i g a n
단시간에	t a n s i g a n e
단시점	t a n s i ʨʨ ʌ m
단식	t a n s i k
단식을	t a n s i g ɯ l
단신	t a n s i n
단아한	t a n a x a n
단양	t a n ja ŋ
단어	t a n ʌ
단어가	t a n ʌ g a
단어나	t a n ʌ n a
단어는	t a n ʌ n ɯ n
단어도	t a n ʌ d o
단어들	t a n ʌ d ɯ l
단어들을	t a n ʌ d ɯ r ɯ l
단어들이	t a n ʌ d ɯ r i
단어로	t a n ʌ r o
단어를	t a n ʌ r ɯ l
단어만	t a n ʌ m a n
단어에	t a n ʌ e
단어에서	t a n ʌ e s ʌ
단어예요	t a n ʌ je jo
단어와	t a n ʌ wa
단어의	t a n ʌ i
단어인데	t a n ʌ i n d e
단어입니다	t a n ʌ i m n i d a
단에	t a n e
단에서	t a n e s ʌ
단연	t a n jʌ n
단연코	t a n jʌ n kʰ o
단열	t a n jʌ l
단열도	t a n jʌ l d o
단열재	t a n jʌ l ʨʨ ɛ
단열재를	t a n jʌ l ʣ ɛ r ɯ l
단오	t a n o
단원	t a n wʌ n
단위	t a n wi
단위가	t a n wi g a
단위는	t a n wi n ɯ n
단위로	t a n wi r o
단위를	t a n wi r ɯ l
단위에서	t a n wi e s ʌ
단위의	t a n wi e
단으로	t a n ɯ r o
단을	t a n ɯ l
단의	t a n e
단이	t a n i
단일	t a n i l
단일가	t a n i l g a
단일세율	t a n i l s e ju l
단일한	t a n i r x a n
단일화	t a n i l x wa
단자	t a n ʣ a
단자가	t a n ʣ a g a
단자는	t a n ʣ a n ɯ n
단자를	t a n ʣ a r ɯ l
단자에	t a n ʣ a e
단자엽식물의	t a n ʣ a jʌ p ss i ŋ m u r i
단장	t a n ʣ a ŋ
단장을	t a n ʣ a ŋ ɯ l
단적으로	t a n ʣ ʌ g ɯ r o
단적인	t a n ʣ ʌ g i n
단전	t a n ʣ ʌ n
단전에	t a n ʣ ʌ n e
단전을	t a n ʣ ʌ n ɯ l
단전이	t a n ʣ ʌ n i
단전호흡을	t a n ʣ ʌ n x o x ɯ b ɯ l
단절	t a n ʣ ʌ l
단절된	t a n ʣ ʌ l d ø n
단절이	t a n ʣ ʌ r i
단점	t a n ʨʨ ʌ m
단점도	t a n ʣ ʌ m d o
단점에	t a n ʣ ʌ m e
단점으로	t a n ʨʨ ʌ m ɯ r o
단점으로는	t a n ʣ ʌ m ɯ r o n ɯ n
단점은	t a n ʣ ʌ m ɯ n
단점을	t a n ʣ ʌ m ɯ l
단점이	t a n ʨʨ ʌ m i
단점이라고	t a n ʣ ʌ m i r a g o
단점이죠	t a n ʣ ʌ m i ʣ jo
단점인	t a n ʣ ʌ m i n
단정	t a n ʣ ʌ ŋ
단정적으로	t a n ʣ ʌ ŋ ʣ ʌ g ɯ r o
단정하게	t a n ʣ ʌ ŋ x a g e
단정하기	t a n ʣ ʌ ŋ x a g i
단정한	t a n ʣ ʌ ŋ x a n
단정할	t a n ʣ ʌ ŋ x a l
단조	t a n ʨʨ o
단조로	t a n ʨʨ o r o
단종	t a n ʣ o ŋ
단지	t a n ʣ i
단지가	t a n ʣ i g a
단지는	t a n ʣ i n ɯ n
단지도	t a n ʣ i d o
단지들은	t a n ʣ i d ɯ r ɯ n
단지들이	t a n ʣ i d ɯ r i
단지로	t a n ʣ i r o
단지를	t a n ʣ i r ɯ l
단지에	t a n ʣ i e
단지의	t a n ʣ i e
단짝	t a n ʨʨ a k
단차	t a n ʨʰ a
단차가	t a n ʨʰ a g a
단차를	t a n ʨʰ a r ɯ l
단체	t a n ʨʰ e
단체가	t a n ʨʰ e g a
단체나	t a n ʨʰ e n a
단체는	t a n ʨʰ e n ɯ n
단체도	t a n ʨʰ e d o
단체들	t a n ʨʰ e d ɯ l
단체들이	t a n ʨʰ e d ɯ r i
단체로	t a n ʨʰ e r o
단체를	t a n ʨʰ e r ɯ l
단체에	t a n ʨʰ e e
단체에서	t a n ʨʰ e e s ʌ
단체의	t a n ʨʰ e e
단초	t a n ʨʰ o
단추	t a n ʨʰ u
단추가	t a n ʨʰ u g a
단추를	t a n ʨʰ u r ɯ l
단축	t a n ʨʰ u k
단축키	t a n ʨʰ u k kʰ i
단축키가	t a n ʨʰ u k k h i g a
단축키는	t a n ʨʰ u k k h i n ɯ n
단축키를	t a n ʨʰ u k k h i r ɯ l
단층	t a n ʨʰ ɯ ŋ
단층이	t a n ʨʰ ɯ ŋ i
단치	t a n ʨʰ i
단칸방	t a n kʰ a n bb a ŋ
단칼에	t a n kʰ a r e
단타	t a n tʰ a
단타로	t a n tʰ a r o
단타를	t a n tʰ a r ɯ l
단테	t a n tʰ e
단톡방	t a n tʰ o k bb a ŋ
단편	t a n pʰ jʌ n
단편이	t a n pʰ jʌ n i
단편적으로	t a n pʰ jʌ n ʣ ʌ g ɯ r o
단편적인	t a n pʰ jʌ n ʣ ʌ g i n
단품	t a n pʰ u m
단품으로	t a n pʰ u m ɯ r o
단품을	t a n pʰ u m ɯ l
단품이	t a n pʰ u m i
단풍	t a n pʰ u ŋ
단풍을	t a n pʰ u ŋ ɯ l
단풍이	t a n pʰ u ŋ i
단호박	t a n x o b a k
단호하게	t a n x o x a g e
단호한	t a n x o x a n
닫게	t a t gg e
닫겠습니다	t a t gg e t ss ɯ m n i d a
닫고	t a t gg o
닫기	t a t gg i
닫기를	t a t gg i r ɯ l
닫는	t a n n ɯ n
닫습니다	t a t ss ɯ m n i d a
닫아	t a d a
닫아도	t a d a d o
닫아서	t a d a s ʌ
닫아야	t a d a ja
닫아주고	t a d a ʣ u g o
닫아주시면	t a d a ʣ u s i m jʌ n
닫았다	t a d a t dd a
닫았습니다	t a d a t ss ɯ m n i d a
닫았어요	t a d a ss ʌ jo
닫으려	t a d ɯ r jʌ
닫으며	t a d ɯ m jʌ
닫으면	t a d ɯ m jʌ n
닫으시고	t a d ɯ s i g o
닫으시면	t a d ɯ s i m jʌ n
닫은	t a d ɯ n
닫을	t a d ɯ l
닫자	t a t ʨʨ a
닫지	t a t ʨʨ i
닫혀	t a ʨʰ jʌ
닫히고	t a ʨʰ i g o
닫히는	t a ʨʰ i n ɯ n
닫힌	t a ʨʰ i n
닫힘	t a ʨʰ i m
닫힙니다	t a tʰ i m n i d a
달	t a l
달간	t a l g a n
달걀	t a l g ja l
달걀을	t a l g ja r ɯ l
달걀이	t a l g ja r i
달거나	t a l g ʌ n a
달게	t a l g e
달고	t a l g o
달고나	t a l g o n a
달과	t a l g wa
달기	t a l g i
달까	t a l gg a
달님	t a l l i m
달님들	t a l l i m d ɯ l
달님들이	t a l l i m d ɯ r i
달다	t a l d a
달달	t a l d a l
달달달	t a l d a l d a l
달달하게	t a l d a l x a g e
달달하고	t a l d a l x a g o
달달하다	t a l d a l x a d a
달달하면서	t a l d a l x a m jʌ n s ʌ
달달한	t a l d a l x a n
달달함	t a l d a l x a m
달덩이	t a l dd ʌ ŋ i
달도	t a l d o
달라	t a l l a
달라고	t a l l a g o
달라구요	t a l l a g u jo
달라는	t a l l a n ɯ n
달라는데	t a l l a n ɯ n d e
달라니까	t a l l a n i gg a
달라도	t a l l a d o
달라며	t a l l a m jʌ
달라면	t a l l a m jʌ n
달라붙게	t a l l a b u t gg e
달라붙는	t a l l a b u n n ɯ n
달라붙어	t a l l a b u tʰ ʌ
달라붙어서	t a l l a b u tʰ ʌ s ʌ
달라서	t a l l a s ʌ
달라스	t a l l a ss ɯ
달라야	t a l l a ja
달라요	t a l l a jo
달라져	t a l l a ʣ jʌ
달라져서	t a l l a ʣ jʌ s ʌ
달라져야	t a l l a ʣ jʌ ja
달라져요	t a l l a ʣ jʌ jo
달라졌는데	t a l l a ʣ jʌ n n ɯ n d e
달라졌다	t a l l a ʣ jʌ t dd a
달라졌다는	t a l l a ʣ jʌ t dd a n ɯ n
달라졌습니다	t a l l a ʣ jʌ t ss ɯ m n i d a
달라졌어	t a l l a ʣ jʌ ss ʌ
달라졌어요	t a l l a ʣ jʌ ss ʌ jo
달라졌을	t a l l a ʣ jʌ ss ɯ l
달라졌죠	t a l l a ʣ jʌ t ʨʨ jo
달라지	t a l l a ʣ i
달라지게	t a l l a ʣ i g e
달라지겠죠	t a l l a ʣ i g e t ʨ jo
달라지고	t a l l a ʣ i g o
달라지기	t a l l a ʣ i g i
달라지는	t a l l a ʣ i n ɯ n
달라지는게	t a l l a ʣ i n ɯ n g e
달라지는데	t a l l a ʣ i n ɯ n d e
달라지니까	t a l l a ʣ i n i gg a
달라지면	t a l l a ʣ i m jʌ n
달라지죠	t a l l a ʣ i ʣ jo
달라지지	t a l l a ʣ i ʣ i
달라진	t a l l a ʣ i n
달라진게	t a l l a ʣ i n g e
달라진다	t a l l a ʣ i n d a
달라진다고	t a l l a ʣ i n d a g o
달라진다는	t a l l a ʣ i n d a n ɯ n
달라질	t a l l a ʣ i l
달라집니다	t a l l a ʣ i m n i d a
달란	t a l l a n
달란트	t a l l a n tʰ ɯ
달란트가	t a l l a n tʰ ɯ g a
달란트를	t a l l a n tʰ ɯ r ɯ l
달랐는데	t a l l a n n ɯ n d e
달랐다	t a l l a t dd a
달랐던	t a l l a t dd ʌ n
달랐습니다	t a l l a t ss ɯ m n i d a
달랐어	t a l l a ss ʌ
달랐어요	t a l l a ss ʌ jo
달랑	t a l l a ŋ
달래	t a l l ɛ
달래고	t a l l e g o
달래기	t a l l ɛ g i
달래는	t a l l ɛ n ɯ n
달래서	t a l l ɛ s ʌ
달래요	t a l l ɛ jo
달러	t a l l ʌ
달러가	t a l l ʌ g a
달러로	t a l l ʌ r o
달러를	t a l l ʌ r ɯ l
달러에	t a l l ʌ e
달러의	t a l l ʌ i
달러화	dd a l l ʌ x wa
달려	t a l l jʌ
달려가	t a l l jʌ g a
달려가고	t a l l jʌ g a g o
달려가는	t a l l jʌ g a n ɯ n
달려가서	t a l l jʌ g a s ʌ
달려가야	t a l l jʌ g a ja
달려갈	t a l l jʌ g a l
달려갑니다	t a l l jʌ g a m n i d a
달려갔다	t a l l jʌ g a t dd a
달려고	t a l l jʌ g o
달려도	t a l l jʌ d o
달려드는	t a l l jʌ d ɯ n ɯ n
달려들어	t a l l jʌ d ɯ r ʌ
달려라	t a l l jʌ r a
달려서	t a l l jʌ s ʌ
달려야	t a l l jʌ ja
달려오는	t a l l jʌ o n ɯ n
달려온	t a l l jʌ o n
달려와	t a l l jʌ wa
달려와서	t a l l jʌ wa s ʌ
달려왔습니다	t a l l jʌ wa t ss ɯ m n i d a
달려요	t a l l jʌ jo
달려있고	t a l l jʌ i t gg o
달려있는	t a l l jʌ i n n ɯ n
달려있어서	t a l l jʌ i ss ʌ s ʌ
달려있어요	t a l l jʌ i ss ʌ jo
달력	t a l l jʌ k
달력에	t a l l jʌ g e
달력을	t a l l jʌ g ɯ l
달력이	t a l l jʌ g i
달렸고	t a l l jʌ t gg o
달렸는데	t a l l jʌ n n ɯ n d e
달렸다	t a l l jʌ t dd a
달렸습니다	t a l l jʌ t ss ɯ m n i d a
달렸어	t a l l jʌ ss ʌ
달렸어요	t a l l jʌ ss ʌ jo
달로	t a l l o
달리	t a l l i
달리게	t a l l i g e
달리고	t a l l i g o
달리기	t a l l i g i
달리기가	t a l l i g i g a
달리기도	t a l l i g i d o
달리기를	t a l l i g i r ɯ l
달리는	t a l l i n ɯ n
달리는데	t a l l i n ɯ n d e
달리니까	t a l l i n i gg a
달리다	t a l l i d a
달리다가	t a l l i d a g a
달리면	t a l l i m jʌ n
달리면서	t a l l i m jʌ n s ʌ
달리신	t a l l i s i n
달리실	t a l l i s i l
달리자	t a l l i ʣ a
달리지	t a l l i ʣ i
달리해서	t a l l i x ɛ s ʌ
달린	t a l l i n
달린거	t a l l i n g ʌ
달린다	t a l l i n d a
달릴	t a l l i l
달립니다	t a l l i m n i d a
달링	t a l l i ŋ
달마	t a l m a
달마가	t a l m a g a
달마다	t a l m a d a
달만	t a l m a n
달면	t a l m jʌ n
달면서	t a l m jʌ n s ʌ
달밤	t a l bb a m
달봉	t a l b o ŋ
달부터	t a l b u tʰ ʌ
달비	t a l b i
달빛	t a l bb i t
달빛이	t a l b i ʨʰ i
달서	t a l ss ʌ
달서구	t a l ss ʌ g u
달성	t a l ss ʌ ŋ
달성되면	t a l s ʌ ŋ d we m jʌ n
달성보	t a l ss ʌ ŋ b o
달성을	t a l s ʌ ŋ ɯ l
달성하기	t a l s ʌ ŋ x a g i
달성하는	t a l s ʌ ŋ x a n ɯ n
달성한	t a l s ʌ ŋ x a n
달성할	t a l s ʌ ŋ x a l
달수	t a l ss u
