AAI	a a i
DIX-SEPT	d i s ɛ t
DIXIT	d i k s i t
DIY	d i
DJEUN	d ʒ œ n
DJIBOUTIEN	d ʒ i b u s j ɛ̃
DJIBOUTIENNE	d ʒ i b u s j ɛ n
DJIBOUTIENS	d ʒ i b u s j ɛ̃
DJIHAD	d ʒ i a d
DLL	d e ɛ l ɛ l
DMLA	d e ɛ m ɛ l a
DMZ	d e ɛ m z ɛ d
DNIEPR	d n j œ p ʁ
DNIESTR	d n j ɛ s t ʁ
DOCKER	d ɔ k ɛ ʁ
DOCKERS	d ɔ k ɛ ʁ
DOES	d ø
DOIGTÉS	d w a t e
DOLENT	d ɔ l ã
DOMINO'S	d ɔ m i n o s
DOMMARTIN	d õ m a ʁ t ɛ̃
DONATIEN	d ɔ n a s j ɛ̃
DONGGUAN	d õ g g w ã
DONIA	d ɔ ɲ a
DONOVAN	d œ n ɔ v ã
DOP	d o
DOPPLER	d ɔ p l ɛ ʁ
DORIAN	d ɔ ʁ j a n
DORIS	d ɔ ʁ i s
DORMENT	d ɔ ʁ m
DOT	d ɔ t
DOTS	d ɔ t
DOUBS	d u
DOUCEÂTRE	d u s œ a t ʁ ə
DOUET	d u ɛ
DOUG	d u g
DOUGLAS	d u g l a s
DPA	d p a
DPE	d e p e ø
DPI	d p i
DPO	d e p e o
DRAGSTER	d ʁ a g s t ɛ ʁ
DREW	d ʁ u
DREYFUS	d ʁ e f y s
DRILL	d ʁ i l
DRILLS	d ʁ i l
DRULINGEN	d ʁ y l i ŋ œ n
DSK	d e ɛ s k a
DSQ	d e ɛ s k y
DUBUS	d y b y s
DUCHESNE	d y ʃ ɛ n
DUHAMEL	d ɥ a m ɛ l
DUQUESNOY	d y k e n w a
DURIT	d y ʁ i t
DVA	d v a
DYSCHROMATOPSIE	d i s k ʁ ɔ m a t ɔ p s i
DZ	d e z ɛ d
DÉC	d e s ã b ʁ ə
DÉCADENT	d e k a d ã
DÉCIMENT	d e s i m
DÉCOCTIONS	d e k ɔ k s j õ
DÉCRESCENDO	d e k ʁ ɛ s ã d o
DÉCUBITUS	d e k y b i t y s
DÉFICIENT	d e f i s j ã
DÉFICIT	d e f i s i t
DÉFICITS	d e f i s i t
DÉFLUENT	d e f l y ã
DÉFORMENT	d e f ɔ ʁ m
DÉFÉRENT	d e f e ʁ ã
DÉLIQUESCENT	d e l i k ɛ s ã
DÉNOMMENT	d e n ɔ m
DÉPRIMENT	d e p ʁ i m
DÉSARMENT	d e z a ʁ m
DÉSERTIONS	d e z ɛ ʁ s j õ
DÉSILLUSION	d e z i l y z j õ
DÉSILLUSIONNER	d e z i l y z j ɔ n e
DÉSILLUSIONS	d e z i l y z j õ
DÉSINFORMENT	d e z ɛ̃ f ɔ ʁ m
DÉTERGENT	d e t ɛ ʁ ʒ ã
DÉTIENT	d e t j ɛ̃
DÉTRIMENT	d e t ʁ i m ã
DÉTRITUS	d e t ʁ i t y s
DÉVERS	d e v ɛ ʁ
DÉVIENT	d e v i
DÉVOTION	d e v ɔ s j õ
DÉVOTIONS	d e v ɔ s j õ
E	i
EA	ø a
EARTH	i ʁ s
EBAY	i b a
EBM	ø b e ɛ m
ECMASCRIPT	ɛ k m a s k ʁ i p t
ED	ɛ d
EDF	ɛ d f
EDGARD	ɛ d g a ʁ
EDI	ø d e i
EDM	ø d e ɛ m
EDWY	e d i
EEL	i l
EFFERVESCENT	e f ɛ ʁ v ɛ s ã
EFFICIENT	e f i s j ã
EGG	ɛ g
EGUISHEIM	e g i s a j m
EGYPTIENS	œ ʒ i p t j ɛ̃
EH	e
EI	ø i
EIFFEL	e f ɛ l
ELTSINE	j ɛ l t s i n
ELYNE	œ l i n
EMAIL	i m ɛ j l
EMAILS	i m ɛ j l
EMBAUMENT	ã b o m
EMBRUMENT	ã b ʁ y m
EMC	ø ɛ m s e
EMDR	ø ɛ m d e ɛ ʁ
EMMA	e m a
EMMANUEL	e m a n y ɛ l
EMMANUELLE	e m a n y ɛ l
EMMY	ɛ m i
EMT	ø ɛ m t e
END	ɛ n d
ENDORMENT	ã d ɔ ʁ m
ENDS	ɛ n d
ENFER	ã f ɛ ʁ
ENFERMENT	ã f ɛ ʁ m
ENFERS	ã f ɛ ʁ
ENFLAMMENT	ã f l a m
ENG	ã
ENGAMENT	ã g a m
ENHARMONIE	ã n a ʁ m ɔ n i
ENNEMI	ɛ n m i
ENNEMIE	ɛ n m i
ENNEMIES	ɛ n m i
ENNEMIS	ɛ n m i
ENNERY	e n œ ʁ i
ENOLA	e n ɔ l a
ENRIQUE	ã ʁ i k ɛ
ENSISHEIM	œ n s i s a j m
ENTER	ɛ n t œ ʁ
ENTREGENT	ã t ʁ œ ʒ ã
ENTRETIENT	ã t ʁ œ t j ɛ̃
ENTZHEIM	e n t s a j m
ENVERS	ã v ɛ ʁ
ENVIENT	ã v i
EPHRAÏM	ɛ f ʁ a ɛ̃
EPM	ø p e ɛ m
EPR	œ p ʁ
EPSTEIN	ɛ p s t ɛ̃
EREA	e ʁ i
ERGERSHEIM	ɛ ʁ ʒ ɛ ʁ ʃ ɛ̃
ERMONT	e ʁ m õ
ERNST	ɛ ʁ n s t
ERRER	ɛ ʁ e
ERS	e
ERSATZ	ɛ ʁ z a t s
ERYTHRÉE	œ ʁ i t ʁ e
ES	ɛ
ESB	ɛ s b
ESC	ɛ s k ɛ j p
ESCHATOLOGIQUE	ɛ s k a t ɔ l ɔ ʒ i k
ESCIENT	ɛ s j ã
ESCP	ɛ s
ESCROC	ɛ s k ʁ o
ESCROCS	ɛ s k ʁ o
ESM	ø ɛ s ɛ m
ESN	ø ɛ s ɛ n
ESP	ɛ s
EST	ɛ
ESTER	ɛ s t ɛ ʁ
ESTERS	ɛ s t ɛ ʁ
ESTOMAC	ɛ s t ɔ m a
ESTOMACS	ɛ s t ɔ m a
ET	e
ETC	ɛ t s e t e ʁ a
ETCÉTÉRA	ɛ t s e t e ʁ a
ETF	ø t e ɛ f
ETHERNET	e t ɛ ʁ n ɛ t
EU	y
EUCALYPTUS	ø k a l i p t y s
EUCHARISTIE	ø k a ʁ i s t i
EUE	y
EUES	y
EUPEN	œ p ɛ n
EURENT	y ʁ
EUS	y
EUSSE	y s
EUSSENT	y s
EUSSIEZ	y s j e
EUT	y
EWALD	e w a l
EXACT	ɛ g z a k t
EXACTS	ɛ g z a k t
EXAMEN	ɛ g z a m ɛ̃
EXAMENS	ɛ g z a m ɛ̃
EXCELLENT	ɛ k s ɛ l ã
EXCHANGE	ɛ k ʃ ã ʒ
EXCIPIENT	ɛ k s i p j ã
EXHIBANT	ɛ g s i b ã
EXHORTE	e g z a ʁ t
EXHUMENT	ɛ k s y m
EXLIBRIS	ɛ k s l i b ʁ i
EXPLORER	ɛ k s p l o ʁ e
EXPÉDIENT	ɛ k s p e d j ã
EXTRANET	ɛ k s t ʁ a n ɛ t
EYBENS	e b ɛ̃ s
EZEKIEL	e z œ k j ɛ l
EZEQUIEL	e z œ k j ɛ l
EZIO	e z j o
EZO	e z o
EÛMES	y m
EÛT	y
EÛTES	y t
F	ɛ f
FACIÈS	f a s j ɛ s
FACÉTIE	f a s e s i
FACÉTIES	f a s e s i
FAHRENHEIT	f a ʁ œ n a j t
FAISEZ	f œ z e
FALL	f o l
FAN	f a n
FANS	f a n
FAQ	a f a k y
FASO	f a s o
FAT	f a t
FATIA	f a s j a
FATS	f a t
FAULX	f o l k s
FBI	e f b j a j
FCC	ɛ f s e s e
FCPE	f k p ø
FE	f ø
FEDAYINS	f œ d a j ɛ̃
FEILLENS	f e j ã
FENS	f ã
FERNANDE	f e ʁ n ã d
FERNANDES	f e ʁ n ã d ɛ s
FERVENT	f ɛ ʁ v ã
FES	f ø
FESF	ɛ f ø ɛ s ɛ f
FESSENHEIM	f e s e n ɛ̃
FESSU	f e s y
FEYZIN	f e z ɛ̃
FEZ	f ɛ z
FIAT	f j a t
FICUS	f i k y s
FIERS	f j ɛ ʁ
FILS	f i s
FIRE	f a j e
FISMES	f i m
FLAMENCO	f l a m ɛ̃ k o
FLAMENT	f l a m ã
FLANCS	f l ã k
FLE	f l ø
FLNC	ɛ f ɛ l ɛ n s e
FLOOD	f l u d
FLOP	f l ɔ p
FLOPS	f l ɔ p
FLQ	ɛ f ɛ l k y
FLUORESCENT	f l y ɔ ʁ ɛ s ã
FLÛTIAU	f l y t j o
FNSEA	f n s i
FOETUS	f œ t y s
FOKKER	f o k ɛ ʁ
FOLLOWER	f ɔ l a w ɛ ʁ
FONGUS	f õ g y s
FOOT	f u t
FOOTBALL	f u t b o l
FOOTBALLEUR	f u t b o l œ ʁ
FOOTBALLEURS	f u t b o l œ ʁ
FOOTBALLEUSE	f u t b o l ø z
FOOTBALLEUSES	f u t b o l ø z
FOOTBALLISTIQUE	f u t b o l i s t i k
FOOTBALLISTIQUEMENT	f u t b o l i s t i k m ã
FOOTBALLISTIQUES	f u t b o l i s t i k
FOOTBALLS	f u t b o l
FOOTS	f u t
FORCEPS	f ɔ ʁ s ɛ p s
FORD	f ɔ ʁ d
FOREIGN	f ɔ ʁ ɛ ɲ
FORMENT	f ɔ ʁ m
FORSTHEIM	f ɔ ʁ s t ɛ̃
FORTIORI	f ɔ ʁ s j ɔ ʁ i
FOUCAULD	f u k o l
FOUCHERANS	f u ʃ œ ʁ ã
FOUESNANT	f w e n ã
FOURNIL	f u ʁ n i
FRANC	f ʁ ã
FRANCOIS	f ʁ ã s w a
FRAUDES	f ʁ w a d
FRED	f ʁ ɛ d
FREDERICK	f ʁ e d e ʁ i k
FREEZER	f ʁ i z œ ʁ
FREMM	ɛ f ɛ ʁ ø ɛ m ɛ m
FRET	f ʁ ɛ t
FRETS	f ʁ ɛ t
FRICHTI	f ʁ i k t i
FRIEDMAN	f ʁ i j ɛ d m a n
FRIEDRICH	f ʁ i j œ d ʁ i ʃ
FROGES	f ʁ o ʒ
FROUZINS	f ʁ u z ɛ̃ s
FRR	ɛ f ɛ ʁ ɛ ʁ
FRÉQUENT	f ʁ e k ã
FRÉQUENTIONS	f ʁ e k ã t j õ
FRÉVENT	f ʁ e v ã
FSA	ɛ f ɛ s a
FUCUS	f y k y s
FUN	f ɔ n
FUSIL	f y z i
FUSILS	f y z i
FÉCULENT	f e k y l ã
FÉVR	f e v ʁ
GADGETS	g a d ʒ ɛ t
GAG	g a g
GAIA	g a j a
GAIL	g a i j
GAMBSHEIM	g a m b s a j m
GANG	g ã g
GANGS	g ã g
GANGSTER	g ã g s t ɛ ʁ
GANGSTERS	g ã g s t ɛ ʁ
GAP	g a p
GAPS	g a p
GARS	g a
GAS	g a s
GASP	g a s
GASPACHO	g a s p a t ʃ o
GATES	g e t s
GAUCHO	g o t ʃ o
GAUCHOS	g o t ʃ o
GAULTHÉRIE	g o e ʁ i
GAV	ʒ e a v e
GAZ	g a z
GCE	ʒ e s e ø
GECKOS	ʒ e k o
GEERT	ʒ ɛ ʁ
GEES	ʒ ø
GEHRY	ʒ œ ʁ i
GEISHA	g e ʃ a
GEISHAS	g e ʃ a
GEISPOLSHEIM	g e s p ɔ l s a j m
GENAS	ʒ œ n a s
GENTIL	ʒ ã t i
GENTILS	ʒ ã t i
GENTILSHOMMES	ʒ ã t i l z ɔ m
GENTIMENT	ʒ ã t i m ã
GENTLEMAN	d ʒ ɛ n t l m a n
GENTLEMEN	d ʒ ɛ n t l m ɛ n
GEO	ʒ o
GEORG	ʒ ɔ ʁ ʒ
GER	ʒ ɛ ʁ
GERALD	ʒ œ ʁ a l d
GERMENT	ʒ ɛ ʁ m
GES	ʒ ø
GESTAPO	g ɛ s t a p o
GEYSER	ʒ ɛ z ɛ ʁ
GEYSERS	ʒ ɛ z ɛ ʁ
GFA	ʒ e ɛ f a
GG	ʒ e ʒ e
GHOSN	g ɔ s n
GIBUS	ʒ i b y s
GILGAMESH	g i l g a m ɛ ʃ
GILL	ʒ i j
GILLARD	ʒ i l a ʁ
GILLE	ʒ i l
GILLES	ʒ i l
GIMENEZ	ʒ i m e n ɛ z
GIN	d ʒ i n
GINESTAS	ʒ i n e s t a s
GINS	ʒ i n
GIRL	g œ ʁ l
GLADYS	g l a d i s
GLOBE	g l a b
GLUTEN	g l y t ɛ n
GNOME	g n o m
GNOMES	g n o m
GNOMIQUE	g n ɔ m i k
GNSS	ʒ e ɛ n ɛ s ɛ s
GOBA'AD	g ɔ b a
GODEFROID	g ɔ d f ʁ w a
GOLDEN	g ɔ l d ɛ n
GOLDWYN	g ɔ l d ɛ̃
GONG	g õ g
GONGS	g õ g
GOODWILLS	g u d w i j
GOOGLE	g u g a l ə
GOULAG	g u l a g
GOUPIL	g u p i
GOUPILS	g u p i
GOY	g ɔ j
GOYAVE	g ɔ j a v
GOYAVES	g ɔ j a v
GOYAVIER	g ɔ j a v j e
GPA	ʒ e p e a
GPI	ʒ e p e i
GPU	ʒ e p e y
GRABENS	g ʁ a b ɛ n
GRADIENT	g ʁ a d j ã
GRAMSCI	g ʁ ã s i
GRAND'MESSE	g ʁ ã d m ɛ s
GRANDILOQUENT	g ʁ ã d i l ɔ k ã
GRANIT	g ʁ a n i t
GRANITS	g ʁ a n i t
GRATIS	g ʁ a t i s
GRAY'S	g ʁ i z
GRE	g ʁ ø
GREEN	g ʁ i n
GREENPEACE	g ʁ i n p i z
GREGOIRE	g ʁ e g w a ʁ
GRIES	g ʁ i s
GRILL	g ʁ i l
GRILLS	g ʁ i l
GRIMM	g ʁ i m
GROG	g ʁ ɔ g
GROSJEAN	g ʁ o ʒ ã
GROSLAY	g ʁ ɔ l ɛ
GROSSE	g ʁ o s
GROSSES	g ʁ o s
GRUNGE	g ʁ ã ʒ
GSPC	ʒ e ɛ s p e s e
GTI	g t i
GUD	g y
GUEBWILLER	g e b v i l ɛ ʁ
GUERIN	g e ʁ ɛ̃
GUILLAIN	g i l ɛ̃
GUILLEMET	g i m ɛ
GUIOT	g ɥ i j o
GUS	g y s
GWENDOLINE	g w e n d ɔ l i n
GWENOLA	g w e n ɔ l a
GÉMELLAIRE	ʒ e m ɛ l ɛ ʁ
GÉMELLAIRES	ʒ e m ɛ l ɛ ʁ
GÉMENOS	ʒ e m œ n ɔ s
GÉNELARD	ʒ e n œ l a ʁ
GÉRALD	ʒ e ʁ a l d
GÉRARDMER	ʒ e ʁ a ʁ m ɛ ʁ
H	a ʃ
HABITIONS	a b i t j õ
HABITUS	a b i t y s
HACCP	a ʃ a s e s e p e
HAGUENAU	a g œ n o
HAJJI	a ʒ i
HALL	o l
HALLOWEEN	a l ɔ w ã
HALLS	o l
HAMLET	a m l ɛ t
HAMSTER	a m s t ɛ ʁ
HAMSTERS	a m s t ɛ ʁ
HANAP	a n a p
HANAPS	a n a p
HANDICAP	ã d i k a p
HANDICAPS	ã d i k a p
HARRIS	a ʁ i s
HAUTBOIS	o b w a
HAZEBROUCK	a z b ʁ u k
HAÏTIEN	a i s j ɛ̃
HAÏTIENS	a i s j ɛ̃
HB	a ʃ b e
HCE	s ø
HCH	a ʃ s e a ʃ
HDZ	a ʃ d e z ɛ d
HEARTS	a ʁ t s
HEATHER	i t e ʁ
HEAVY	ɛ v i
HEM	ɛ m
HENNEBONT	e n œ b õ
HEP	ɛ p
HERMÈS	ɛ ʁ m ɛ s
HERPÈS	ɛ ʁ p ɛ s
HERRLISHEIM	e ʁ l i s a j m
HERZL	ɛ ʁ z l
HERZOG	ɛ ʁ z ɔ g
HESBAYE	e z b ɛ j
HESDIN	e d ɛ̃
HESS	ɛ s
HEURISTIQUE	ø ʁ i s t i k
HEURISTIQUES	ø ʁ i s t i k
HEWLETT	j u l ɛ t
HFC	a ʃ ɛ f s e
HIATUS	j a t y s
HIBISCUS	i b i s k y s
HIER	i j ɛ ʁ
HIGHLANDERS	i l ã d e ʁ s
HILL	i j
HILLS	i j
HIMALAYA	i m a l a j a
HIMALAYENNE	i m a l a j ɛ n
HIMALAYENNES	i m a l a j ɛ n
HIMALAYENS	i m a l a j ɛ̃
HINDOUISME	ɛ̃ d u i s m ə
HIVER	i v ɛ ʁ
HIVERS	i v ɛ ʁ
HLA	a ʃ ɛ l a
HM	a ʃ ɛ m
HOCKNEY	ɔ k n i
HOECHST	œ k s t
HOEILAART	œ j a a ʁ
HOFFMAN	ɔ f m a n
HOLD	ɔ l d
HOLLYWOOD	ɔ l i w u d
HOLTER	ɔ l t ɛ ʁ
HOLTZHEIM	ɔ l t z a j m
HOP	ɔ p
HOUSSEN	u s ɛ n
HOWE	a u
HP	a ʃ p e
HRW	a ʃ ɛ ʁ d u b l ə v e
HSBC	a ʃ ɛ s b e s e
HSE	a ʃ ɛ s ø
HTA	a ʃ t e a
HTTPS	a ʃ t e t e p e ɛ s
HUELGOAT	ɥ e l g w a t
HUIT	ɥ i t
HUITS	ɥ i t
HUMBOLDT	œ̃ b ɔ l d
HUMUS	y m y s
HUMÉRUS	y m e ʁ y s
HUSSEIN	y s ɛ n
HUY	ɥ i
HVB	a ʃ v e b e
HYPOTHALAMUS	i p ɔ t a l a m y s
HÉLAS	e l a s
HÉMATIES	e m a s i
HÉRITIONS	e ʁ i t j õ
IA	i a
IAI	i a i
IAN	j a n
IBIS	i b i s
IBN	i b n
ICTUS	i k t y s
IDC	i d k
IDM	i d e ɛ m
IE	i ø
IENG	j ã
IENISSEÏ	i n i s œ i
IER	p ʁ œ m j e
IFP	i f
IFRS	i ɛ f ɛ ʁ ɛ s
IG	i
IGG	i g
IGM	i g m
IGN	i ɲ
IGNITION	i g n i s j õ
IGPN	i g p n
IGS	i
IHM	i a ʃ ɛ m
IIE	d ø z j ɛ m
IIIE	t ʁ w a z j ɛ m
IIIÈME	t ʁ w a z j ɛ m
IIÈME	d ø z j ɛ m
ILYES	i l i
IM	ɛ̃
IMC	i ɛ m s e
IMITIONS	i m i t j õ
IMMANENT	i m a n ã
IMMINENT	i m i n ã
IMMISCENT	i m i s
IMPACT	ɛ̃ p a k t
IMPACTS	ɛ̃ p a k t
IMPATIENT	ɛ̃ p a s j ã
IMPEACHMENT	ɛ̃ p i ʃ m ã
IMPERTINENT	ɛ̃ p ɛ ʁ t i n ã
IMPOTENT	ɛ̃ p ɔ t ã
IMPRIMENT	ɛ̃ p ʁ i m
IMPRUDENT	ɛ̃ p ʁ y d ã
IMPUDENT	ɛ̃ p y d ã
IMPÉNITENT	ɛ̃ p e n i t ã
IN	i n
INCANDESCENT	ɛ̃ k ã d e s
INCIDENT	ɛ̃ s i d ã
INCOHÉRENT	ɛ̃ k ɔ e ʁ ã
INCONSCIENT	ɛ̃ k õ s j ã
INCONSÉQUENT	ɛ̃ k õ s e k ã
INCONTINENT	ɛ̃ k õ t i n ã
INCONVÉNIENT	ɛ̃ k õ v e n j ã
INCORRECT	ɛ̃ k ɔ ʁ ɛ k t
INCORRECTS	ɛ̃ k ɔ ʁ ɛ k t
INDEMNE	ɛ̃ d ɛ m
INDEMNES	ɛ̃ d ɛ m
INDIFFÉRENT	ɛ̃ d i f e ʁ ã
INDIGENT	ɛ̃ d i ʒ ã
INDIRECT	ɛ̃ d i ʁ ɛ k t
INDIRECTS	ɛ̃ d i ʁ ɛ k t
INDOLENT	ɛ̃ d ɔ l ã
INDULGENT	ɛ̃ d y l ʒ ã
INERTIE	i n ɛ ʁ s i
INERTIES	i n ɛ ʁ s i
INEXACT	i n ɛ g z a k t
INEXACTS	i n ɛ g z a k t
INFARCTUS	ɛ̃ f a ʁ k t y s
INFECT	ɛ̃ f ɛ k t
INFECTIOLOGIE	ɛ̃ f ɛ k t j ɔ l ɔ ʒ i
INFECTIOLOGUES	ɛ̃ f ɛ k t j ɔ l ɔ g
INFLUENT	ɛ̃ f l y ã
INFLUX	ɛ̃ f l y k s
INFORMENT	ɛ̃ f ɔ ʁ m
ING	i ŋ
INGERSHEIM	i ŋ e ʁ s ɛ j m
INGRID	i n g ʁ i d
INGRÉDIENT	ɛ̃ g ʁ e d j ã
INHÉRENT	i n e ʁ ã
ININTELLIGENT	i n ɛ̃ t e l i ʒ ã
INITIEZ	i n i s j e
INNENHEIM	i n e n a j m
INNOCENT	i n ɔ s ã
INSEE	i n s e
INSERTIONS	ɛ̃ s ɛ ʁ s j õ
INSOLENT	ɛ̃ s ɔ l ã
INTELLECT	ɛ̃ t ɛ l ɛ k t
INTELLECTS	ɛ̃ t ɛ l ɛ k t
INTELLIGENT	ɛ̃ t e l i ʒ ã
INTER	ɛ̃ t ɛ ʁ
INTERAHAMWE	ɛ̃ t ɛ ʁ a ã w
INTERCEPT	ɛ̃ t ɛ ʁ s ɛ p t
INTERFÉRENT	ɛ̃ t ɛ ʁ f e ʁ ã
INTERHÉMISPHÉRIQUE	ɛ̃ t e ʁ e m i s f e ʁ i k
INTERMITTENT	ɛ̃ t ɛ ʁ m i t ã
INTERNET	ɛ̃ t ɛ ʁ n ɛ t
INTERUNIVERSITAIRE	ɛ̃ t e ʁ y n i v ɛ ʁ s i t ɛ ʁ
INTERURBAINS	ɛ̃ t e ʁ y ʁ b ɛ̃
INTERVIEWER	ɛ̃ t ɛ ʁ v j u v œ ʁ
INTERVIEWERS	ɛ̃ t ɛ ʁ v j u v œ ʁ
INTERVIEWS	ɛ̃ t ɛ ʁ v j u
INTRANET	ɛ̃ t ʁ a n ɛ t
INTUITIONS	ɛ̃ t ɥ i s j õ
INTÉRÊT	ɛ̃ t e ʁ e
INVRAISEMBLABLE	ɛ̃ v ʁ ɛ s ã b l a b l ə
INVRAISEMBLABLEMENT	ɛ̃ v ʁ ɛ s ã b l a b l œ m ã
INVRAISEMBLABLES	ɛ̃ v ʁ ɛ s ã b l a b l ə
INÉQUATION	i n e k a s j õ
IOPS	j o
IPC	i p e s e
IPG	i p e ʒ e
IPP	i p e p e
IPSOS	i p s ɔ s
IPX	i p e i k s
IQ	a i k j u
IRB	i ʁ b
IRC	i ʁ k
IRE	p ʁ œ m j ɛ ʁ
IRES	p ʁ œ m j ɛ ʁ
IRIDESCENT	i ʁ i d e s ã
IRIS	i ʁ i s
IRONMANS	i ʁ õ m ã
ISBN	i ɛ s b e ɛ n
ISCHIATIQUE	i s k j a t i k
ISCHIONS	i s k j õ
ISCHÉMIE	i s k e m i
ISCHÉMIQUE	i s k e m i k
ISCHÉMIQUES	i s k e m i k
ISL	i s l
ISLAND	i l ã d
ISLE	i l
ISM	i s m
ISMAÏL	i s m a l
ISRS	i ɛ s ɛ ʁ ɛ s
ISTHME	i s m ə
ISTHMES	i s m ə
ITP	i t
ITSS	i t e ɛ s ɛ s
ITT	i t
ITTEVILLE	i t œ v i l
ITV	i t v
IWUY	i w ɥ i
J	ʒ i
J'	ʒ œ
J'AI	ʒ e
JACENT	ʒ a s ã
JACKPOT	d ʒ a k p o t
JACKPOTS	d ʒ a k p o t
JACOBUS	ʒ a k ɔ b y s
JADIS	ʒ a d i s
JAEGER	ʒ a ʒ e
JAIME	ʒ e m i
JAMES	d ʒ e m z
JAMILA	d ʒ a m i l a
JAN	ʒ ã v j e
JAURÈS	ʒ ɔ ʁ ɛ s
JAVASCRIPT	ʒ a v a s k ʁ i p t
JAYET	ʒ ɛ j ɛ
JAZZ	d ʒ a z
JC	ʒ i s e
JDD	ʒ i d e d e
JDR	ʒ i d e ɛ ʁ
JE	ʒ œ
JEAN	d ʒ i n
JEANINE	ʒ i n i n
JEANS	d ʒ i n z
JEBSHEIM	ʒ e b s a j m
JEFFERSON	ʒ e f e ʁ s ɔ n
JEHANNE	ʒ e a n
JENNIFER	ʒ e n i f œ ʁ
JEREMY	ʒ e ʁ e m i
JERUSALEM	ʒ e ʁ y z a l ɛ m
JETTERIONS	ʒ e t œ ʁ j õ
JFK	ʒ i ɛ f k a
JIG	ʒ i
JMJ	ʒ i ɛ m ʒ i
JOAQUIM	ʒ ɔ a k ɛ̃
JOB	d ʒ ɔ b
JOBS	d ʒ ɔ b
JOE	ʒ ø
JOELLE	ʒ ɔ ɛ l
JOEY	ʒ ø
JOGGING	ʒ ɔ g i ŋ
JOGGINGS	d ʒ ɔ g ʒ i ŋ
JOHANNES	ʒ ɔ a n ɛ s
JOHN	d ʒ ɔ n
JOHNNY	d ʒ ɔ n i
JOHNS	ʒ ɔ n s
JOHNSON	ʒ ɔ n s ɔ n
JOJO	ʒ o ʒ o
JONAS	ʒ ɔ n a s
JONC	ʒ õ
JONCS	ʒ õ
JONQUILLE	ʒ õ k i j
JOUAN	ʒ ã
JOUG	ʒ u g
JOUGS	ʒ u g
JOUIN	ʒ u ɛ̃
JOYCE	ʒ ɔ j s
JOYSTICKS	ʒ ɥ i s t i k
JOZSEF	ʒ o z s ɛ f
JPEG	ʒ i p e ø ʒ e
JPG	ʒ i p e ʒ e
JR	ʒ i ɛ ʁ
JSC	ʒ i ɛ s s e
JSON	ʒ i ɛ s o ɛ n
JSP	ʒ i ɛ s p e
JT	ʒ i t e
JUILLET	ʒ ɥ i j ɛ
JUL	ʒ y j ɛ
JUMENT	ʒ y m ã
JUMPING	d ʒ œ̃ p i ŋ
JUNKIE	d ʒ œ̃ k i
JUNKIES	d ʒ œ̃ k i
JUPITER	ʒ y p i t ɛ ʁ
JUPITERS	ʒ y p i t ɛ ʁ
JUSQUE	ʒ y s k ə
JUSTINIEN	ʒ y s t i ɲ ɛ̃
JVC	ʒ i v e s e
KAREN	k a ʁ ɛ n
KARENS	k a ʁ ɛ n
KAT	k a t
KATHLEEN	k a t l i n
KATIA	k a s j a
KAUNDA	k o n d a
KAYAK	k a j a k
KAYAKISTE	k a j a k i s t
KAYAKS	k a j a k
KAYSERSBERG	k a j z e ʁ z b ɛ ʁ g
KEHL	k œ l
KELLER	k e l ɛ ʁ
KELLOGG	k e l ɔ g
KENZA	k e n z a
KIENLE	k j ã l
KIENTZHEIM	k j ã t s ɛ̃
KIKUYU	k i k ɥ i j y
KILIAN	k i l j a n
KILL	k i j
KILLS	k i j
KIMBERLEY	k i m b œ ʁ l ɛ
KINGERSHEIM	k i ŋ œ ʁ s a j m
KINSHASA	k i n ʃ a s a
KINTZHEIM	k i n t s a j m
KIRCHHEIM	k i ʁ k ɛ̃
KIRGHIZ	k i ʁ g i z
KIRSCH	k i ʁ ʃ
KIT	k i t
KITCHENER	k i t ʃ n œ ʁ
KITS	k i t
KKK	k a k a k a
KKR	k a k a ɛ ʁ
KLAXONS	k l a k s ɔ n
KNESSET	k n e s ɛ
KNOUT	k n u t
KOEKELBERG	k œ k ɛ l b ɛ ʁ
KOLBSHEIM	k ɔ l b ʃ ɛ̃
KONG	k õ g
KOWEIT	k o w ɛ j t
KPMG	k a p e ɛ m ʒ e
KRACH	k ʁ a k
KRACHS	k ʁ a k
KRAFT	k ʁ a f t
KRAKEN	k ʁ a k ɛ n
KRAUTERGERSHEIM	k ʁ ɔ t e ʁ g e ʁ s a j m
KRILL	k ʁ i l
KUTTOLSHEIM	k y t ɔ l ʃ ɛ̃
KW	k i l ɔ w a t
KYLIAN	k i l j a n
KYUS	k j y
L	ɛ l
L'	l œ
L'ALSACE	l a l z a s
L'ARCHÉOLOGIE	l a ʁ k e ɔ l ɔ ʒ i
L'EST	l ɛ
L'HIVER	l i v ɛ ʁ
L'INTELLIGENT	l ɛ̃ t e l i ʒ ã
L'INTER	l ɛ̃ t ɛ ʁ
L'INTERNET	l ɛ̃ t ɛ ʁ n ɛ t
L'UGTA	l y g t a
L'ŒNOLOGUE	l œ n ɔ l ɔ g
LACTOBACILLES	l a k t ɔ b a s i l
LAETICIA	l e t i s j a
LAGNIEU	l a ɲ ø
LAHAYE	l a ɛ
LAIGLE	l ɛ g l
LANESTER	l a n e s t ɛ ʁ
LANOUÉE	l a n u e
LAOTIEN	l a ɔ s j ɛ̃
LAOTIENNE	l a ɔ s j ɛ n
LAOTIENS	l a ɔ s j ɛ̃
LAPIS	l a p i s
LAPS	l a p s
